arrival_location_id,CaseType,Accepted
91350746,SingleIndividualFemale,Yes
91350746,SingleIndividualMale,Yes
91350746,SingleParentFamilies,Yes
3e767dee,SingleIndividualFemale,Yes
3e767dee,SingleIndividualMale,Yes
3e767dee,SingleParentFamilies,Yes
f9eceaf1,SingleIndividualFemale,Yes
f9eceaf1,SingleIndividualMale,Yes
f9eceaf1,SingleParentFamilies,Yes
2cc2591c,SingleIndividualFemale,Yes
2cc2591c,SingleIndividualMale,Yes
2cc2591c,SingleParentFamilies,Yes
0b8769f2,SingleIndividualFemale,Yes
0b8769f2,SingleIndividualMale,Yes
0b8769f2,SingleParentFamilies,Yes
df4d0d19,SingleIndividualFemale,Yes
df4d0d19,SingleIndividualMale,Yes
df4d0d19,SingleParentFamilies,Yes
cdf929eb,SingleIndividualFemale,No
cdf929eb,SingleIndividualMale,No
cdf929eb,SingleParentFamilies,No
11b8b71f,SingleIndividualFemale,No
11b8b71f,SingleIndividualMale,Yes
11b8b71f,SingleParentFamilies,Yes
2449a303,SingleIndividualFemale,No
2449a303,SingleIndividualMale,No
2449a303,SingleParentFamilies,No
700e77b1,SingleIndividualFemale,Yes
700e77b1,SingleIndividualMale,Yes
700e77b1,SingleParentFamilies,Yes
0a63bef4,SingleIndividualFemale,Yes
0a63bef4,SingleIndividualMale,Yes
0a63bef4,SingleParentFamilies,Yes
eb58ce03,SingleIndividualFemale,Yes
eb58ce03,SingleIndividualMale,Yes
eb58ce03,SingleParentFamilies,Yes
ebaaa580,SingleIndividualFemale,Yes
ebaaa580,SingleIndividualMale,Yes
ebaaa580,SingleParentFamilies,Yes
7335b23e,SingleIndividualFemale,Yes
7335b23e,SingleIndividualMale,Yes
7335b23e,SingleParentFamilies,Yes
47d21aa7,SingleIndividualFemale,Yes
47d21aa7,SingleIndividualMale,Yes
47d21aa7,SingleParentFamilies,Yes
3f60c16b,SingleIndividualFemale,Yes
3f60c16b,SingleIndividualMale,Yes
3f60c16b,SingleParentFamilies,Yes
b5b999a4,SingleIndividualFemale,Yes
b5b999a4,SingleIndividualMale,Yes
b5b999a4,SingleParentFamilies,Yes
8265f4b2,SingleIndividualFemale,Yes
8265f4b2,SingleIndividualMale,Yes
8265f4b2,SingleParentFamilies,Yes
0a91d577,SingleIndividualFemale,Yes
0a91d577,SingleIndividualMale,Yes
0a91d577,SingleParentFamilies,Yes
c572d3f4,SingleIndividualFemale,Yes
c572d3f4,SingleIndividualMale,Yes
c572d3f4,SingleParentFamilies,Yes
371950f7,SingleIndividualFemale,Yes
371950f7,SingleIndividualMale,Yes
371950f7,SingleParentFamilies,Yes
a61b01d3,SingleIndividualFemale,No
a61b01d3,SingleIndividualMale,No
a61b01d3,SingleParentFamilies,No
7a5a9f27,SingleIndividualFemale,Yes
7a5a9f27,SingleIndividualMale,Yes
7a5a9f27,SingleParentFamilies,Yes
d6222000,SingleIndividualFemale,Yes
d6222000,SingleIndividualMale,Yes
d6222000,SingleParentFamilies,Yes
2e1d4b95,SingleIndividualFemale,Yes
2e1d4b95,SingleIndividualMale,Yes
2e1d4b95,SingleParentFamilies,Yes
cc1dfeed,SingleIndividualFemale,Yes
cc1dfeed,SingleIndividualMale,Yes
cc1dfeed,SingleParentFamilies,No
815e313d,SingleIndividualFemale,No
815e313d,SingleIndividualMale,Yes
815e313d,SingleParentFamilies,Yes
88311c24,SingleIndividualFemale,Yes
88311c24,SingleIndividualMale,Yes
88311c24,SingleParentFamilies,Yes
cd0b4268,SingleIndividualFemale,No
cd0b4268,SingleIndividualMale,No
cd0b4268,SingleParentFamilies,No
dc76c896,SingleIndividualFemale,Yes
dc76c896,SingleIndividualMale,Yes
dc76c896,SingleParentFamilies,Yes
f083c7e8,SingleIndividualFemale,Yes
f083c7e8,SingleIndividualMale,Yes
f083c7e8,SingleParentFamilies,Yes
635e8445,SingleIndividualFemale,Yes
635e8445,SingleIndividualMale,Yes
635e8445,SingleParentFamilies,Yes
19334d00,SingleIndividualFemale,Yes
19334d00,SingleIndividualMale,Yes
19334d00,SingleParentFamilies,No
b794e0ae,SingleIndividualFemale,No
b794e0ae,SingleIndividualMale,Yes
b794e0ae,SingleParentFamilies,Yes
2c30329f,SingleIndividualFemale,Yes
2c30329f,SingleIndividualMale,Yes
2c30329f,SingleParentFamilies,No
18d79a06,SingleIndividualFemale,No
18d79a06,SingleIndividualMale,Yes
18d79a06,SingleParentFamilies,Yes
f8fa5674,SingleIndividualFemale,Yes
f8fa5674,SingleIndividualMale,Yes
f8fa5674,SingleParentFamilies,Yes
e3d3341c,SingleIndividualFemale,Yes
e3d3341c,SingleIndividualMale,Yes
e3d3341c,SingleParentFamilies,Yes
547082d0,SingleIndividualFemale,No
547082d0,SingleIndividualMale,No
547082d0,SingleParentFamilies,No
dea9da1f,SingleIndividualFemale,Yes
dea9da1f,SingleIndividualMale,Yes
dea9da1f,SingleParentFamilies,Yes
450d082e,SingleIndividualFemale,Yes
450d082e,SingleIndividualMale,Yes
450d082e,SingleParentFamilies,Yes
2d268e1a,SingleIndividualFemale,Yes
2d268e1a,SingleIndividualMale,Yes
2d268e1a,SingleParentFamilies,Yes
3f92aae8,SingleIndividualFemale,Yes
3f92aae8,SingleIndividualMale,Yes
3f92aae8,SingleParentFamilies,Yes
45ff63ad,SingleIndividualFemale,Yes
45ff63ad,SingleIndividualMale,Yes
45ff63ad,SingleParentFamilies,Yes
f8083df7,SingleIndividualFemale,No
f8083df7,SingleIndividualMale,No
f8083df7,SingleParentFamilies,Yes
de5bb19c,SingleIndividualFemale,Yes
de5bb19c,SingleIndividualMale,Yes
de5bb19c,SingleParentFamilies,Yes
19c12683,SingleIndividualFemale,Yes
19c12683,SingleIndividualMale,Yes
19c12683,SingleParentFamilies,Yes
56af9059,SingleIndividualFemale,Yes
56af9059,SingleIndividualMale,Yes
56af9059,SingleParentFamilies,No
a4c4135a,SingleIndividualFemale,Yes
a4c4135a,SingleIndividualMale,Yes
a4c4135a,SingleParentFamilies,No
eabc1905,SingleIndividualFemale,Yes
eabc1905,SingleIndividualMale,Yes
eabc1905,SingleParentFamilies,Yes
