arrival_location_id,Nationality_norm
91350746,afghanistan
91350746,burma
91350746,demrepcongo
91350746,colombia
91350746,cuba
91350746,ecuador
91350746,eritrea
91350746,elsalvador
91350746,ethiopia
91350746,guatemala
91350746,haiti
91350746,honduras
91350746,iran
91350746,iraq
91350746,mexico
91350746,rwanda
91350746,somalia
91350746,syria
91350746,ukraine
3e767dee,afghanistan
3e767dee,burma
3e767dee,chad
3e767dee,demrepcongo
3e767dee,colombia
3e767dee,elsalvador
3e767dee,guatemala
3e767dee,iran
3e767dee,ivorycoast
3e767dee,liberia
3e767dee,rwanda
3e767dee,syria
3e767dee,ukraine
3e767dee,vietnam
f9eceaf1,afghanistan
f9eceaf1,demrepcongo
2cc2591c,afghanistan
2cc2591c,burma
2cc2591c,bhutan
2cc2591c,burundi
2cc2591c,demrepcongo
2cc2591c,cameroon
2cc2591c,colombia
2cc2591c,cuba
2cc2591c,djibouti
2cc2591c,eritrea
2cc2591c,elsalvador
2cc2591c,guatemala
2cc2591c,honduras
2cc2591c,iran
2cc2591c,iraq
2cc2591c,kazakhstan
2cc2591c,liberia
2cc2591c,moldova
2cc2591c,nicaragua
2cc2591c,rwanda
2cc2591c,somalia
2cc2591c,southsudan
2cc2591c,sudan
2cc2591c,syria
2cc2591c,ukraine
2cc2591c,venezuela
2cc2591c,vietnam
2cc2591c,yemen
0b8769f2,afghanistan
0b8769f2,burma
0b8769f2,burundi
0b8769f2,demrepcongo
0b8769f2,cameroon
0b8769f2,colombia
0b8769f2,centralafricanrepublic
0b8769f2,cuba
0b8769f2,elsalvador
0b8769f2,guatemala
0b8769f2,haiti
0b8769f2,honduras
0b8769f2,iran
0b8769f2,iraq
0b8769f2,nicaragua
0b8769f2,rwanda
0b8769f2,syria
0b8769f2,ukraine
0b8769f2,venezuela
df4d0d19,afghanistan
df4d0d19,burma
df4d0d19,demrepcongo
df4d0d19,costarica
df4d0d19,cuba
df4d0d19,eritrea
df4d0d19,elsalvador
df4d0d19,guatemala
df4d0d19,honduras
df4d0d19,mexico
df4d0d19,nicaragua
df4d0d19,peru
df4d0d19,rwanda
df4d0d19,somalia
df4d0d19,syria
df4d0d19,ukraine
df4d0d19,venezuela
11b8b71f,afghanistan
11b8b71f,burma
11b8b71f,congo
11b8b71f,colombia
11b8b71f,cuba
11b8b71f,ecuador
11b8b71f,elsalvador
11b8b71f,ethiopia
11b8b71f,guatemala
11b8b71f,honduras
11b8b71f,iran
11b8b71f,iraq
11b8b71f,moldova
11b8b71f,russia
11b8b71f,rwanda
11b8b71f,sudan
11b8b71f,syria
11b8b71f,ukraine
11b8b71f,venezuela
2449a303,afghanistan
2449a303,burma
2449a303,demrepcongo
2449a303,cuba
2449a303,eritrea
2449a303,elsalvador
2449a303,ethiopia
2449a303,guatemala
2449a303,haiti
2449a303,iraq
2449a303,moldova
2449a303,nicaragua
2449a303,southsudan
2449a303,syria
2449a303,ukraine
2449a303,venezuela
700e77b1,afghanistan
700e77b1,colombia
700e77b1,cuba
700e77b1,guatemala
700e77b1,haiti
700e77b1,honduras
700e77b1,russia
700e77b1,ukraine
700e77b1,venezuela
700e77b1,vietnam
0a63bef4,afghanistan
0a63bef4,burma
0a63bef4,congo
0a63bef4,colombia
0a63bef4,guatemala
0a63bef4,honduras
0a63bef4,iran
0a63bef4,iraq
0a63bef4,moldova
0a63bef4,peru
0a63bef4,syria
0a63bef4,ukraine
0a63bef4,venezuela
eb58ce03,afghanistan
eb58ce03,burma
eb58ce03,bhutan
eb58ce03,burundi
eb58ce03,chad
eb58ce03,srilankaceylon
eb58ce03,demrepcongo
eb58ce03,colombia
eb58ce03,centralafricanrepublic
eb58ce03,cuba
eb58ce03,ecuador
eb58ce03,eritrea
eb58ce03,elsalvador
eb58ce03,ethiopia
eb58ce03,guatemala
eb58ce03,honduras
eb58ce03,iran
eb58ce03,iraq
eb58ce03,moldova
eb58ce03,nepal
eb58ce03,pakistan
eb58ce03,palestine
eb58ce03,rwanda
eb58ce03,somalia
eb58ce03,southsudan
eb58ce03,sudan
eb58ce03,syria
eb58ce03,ukraine
eb58ce03,vietnam
eb58ce03,zimbabwe
ebaaa580,afghanistan
ebaaa580,burma
ebaaa580,bhutan
ebaaa580,burundi
ebaaa580,demrepcongo
ebaaa580,colombia
ebaaa580,cuba
ebaaa580,ecuador
ebaaa580,eritrea
ebaaa580,elsalvador
ebaaa580,ethiopia
ebaaa580,guatemala
ebaaa580,honduras
ebaaa580,iran
ebaaa580,iraq
ebaaa580,southsudan
ebaaa580,sudan
ebaaa580,syria
ebaaa580,ukraine
ebaaa580,vietnam
7335b23e,afghanistan
7335b23e,demrepcongo
7335b23e,colombia
7335b23e,cuba
7335b23e,ecuador
7335b23e,eritrea
7335b23e,ethiopia
7335b23e,guatemala
7335b23e,iraq
7335b23e,somalia
7335b23e,sudan
7335b23e,vietnam
47d21aa7,afghanistan
47d21aa7,burundi
47d21aa7,demrepcongo
47d21aa7,iraq
47d21aa7,kuwait
47d21aa7,somalia
b5b999a4,afghanistan
8265f4b2,afghanistan
8265f4b2,burma
8265f4b2,congo
8265f4b2,ethiopia
8265f4b2,iraq
8265f4b2,syria
c572d3f4,afghanistan
c572d3f4,demrepcongo
c572d3f4,cameroon
c572d3f4,colombia
c572d3f4,cuba
c572d3f4,equatorialguinea
c572d3f4,iraq
c572d3f4,syria
c572d3f4,uganda
c572d3f4,ukraine
c572d3f4,venezuela
371950f7,afghanistan
371950f7,burma
7a5a9f27,afghanistan
7a5a9f27,burma
7a5a9f27,belarus
7a5a9f27,bhutan
7a5a9f27,chad
7a5a9f27,srilankaceylon
7a5a9f27,demrepcongo
7a5a9f27,colombia
7a5a9f27,cuba
7a5a9f27,djibouti
7a5a9f27,eritrea
7a5a9f27,elsalvador
7a5a9f27,ethiopia
7a5a9f27,guatemala
7a5a9f27,honduras
7a5a9f27,iran
7a5a9f27,iraq
7a5a9f27,laos
7a5a9f27,liberia
7a5a9f27,rwanda
7a5a9f27,somalia
7a5a9f27,southsudan
7a5a9f27,sudan
7a5a9f27,syria
7a5a9f27,thailand
7a5a9f27,ukraine
7a5a9f27,venezuela
7a5a9f27,vietnam
d6222000,afghanistan
d6222000,burma
d6222000,ethiopia
d6222000,guatemala
d6222000,honduras
d6222000,iraq
d6222000,kenya
d6222000,somalia
d6222000,southsudan
d6222000,ukraine
2e1d4b95,afghanistan
2e1d4b95,burma
2e1d4b95,congo
2e1d4b95,demrepcongo
2e1d4b95,colombia
2e1d4b95,costarica
2e1d4b95,guatemala
2e1d4b95,iraqsaudiarabianeutralzone
2e1d4b95,iraq
2e1d4b95,kenya
2e1d4b95,laos
2e1d4b95,nicaragua
2e1d4b95,pakistan
2e1d4b95,somalia
2e1d4b95,sudan
2e1d4b95,syria
2e1d4b95,tanzania
2e1d4b95,venezuela
2e1d4b95,vietnam
2e1d4b95,yemen
cc1dfeed,afghanistan
cc1dfeed,albania
cc1dfeed,armenia
cc1dfeed,angola
cc1dfeed,bahrain
cc1dfeed,burma
cc1dfeed,belarus
cc1dfeed,bhutan
cc1dfeed,burundi
cc1dfeed,srilankaceylon
cc1dfeed,demrepcongo
cc1dfeed,china
cc1dfeed,colombia
cc1dfeed,egypt
cc1dfeed,eritrea
cc1dfeed,elsalvador
cc1dfeed,ethiopia
cc1dfeed,guatemala
cc1dfeed,iran
cc1dfeed,iraq
cc1dfeed,moldova
cc1dfeed,pakistan
cc1dfeed,sudan
cc1dfeed,syria
cc1dfeed,ukraine
cc1dfeed,venezuela
cc1dfeed,vietnam
815e313d,afghanistan
815e313d,demrepcongo
815e313d,ethiopia
815e313d,iraq
815e313d,somalia
815e313d,sudan
815e313d,ukraine
88311c24,afghanistan
88311c24,burma
88311c24,congo
88311c24,demrepcongo
88311c24,colombia
88311c24,cuba
88311c24,elsalvador
88311c24,guatemala
88311c24,honduras
88311c24,india
88311c24,iran
88311c24,iraq
88311c24,lebanon
88311c24,nepal
88311c24,pakistan
88311c24,palestine
88311c24,russia
88311c24,somalia
88311c24,southsudan
88311c24,sudan
88311c24,ukraine
88311c24,venezuela
cd0b4268,afghanistan
cd0b4268,burma
cd0b4268,brazil
cd0b4268,congo
cd0b4268,colombia
cd0b4268,elsalvador
cd0b4268,guatemala
cd0b4268,iran
cd0b4268,iraq
cd0b4268,pakistan
cd0b4268,rwanda
cd0b4268,syria
cd0b4268,tajikistan
cd0b4268,uganda
cd0b4268,uzbekistan
cd0b4268,venezuela
cd0b4268,vietnam
dc76c896,afghanistan
dc76c896,cuba
dc76c896,ecuador
f083c7e8,afghanistan
f083c7e8,albania
f083c7e8,burma
f083c7e8,belarus
f083c7e8,bhutan
f083c7e8,congo
f083c7e8,iran
f083c7e8,iraq
f083c7e8,somalia
f083c7e8,sudan
f083c7e8,syria
f083c7e8,ukraine
635e8445,bhutan
635e8445,iraq
19334d00,afghanistan
19334d00,burma
