"person_id","case_id","arrival_location_id","case_size","ArrivalDate","arrival_age","Nationality_norm","sex","free_case","hard_singles_male","hard_singles_female","hard_spf","case_placement_order","arrival_location_order"
"c9f1f43713aec0031d0aea40e352dcb3e0e3996b02b85cb586c06892bdf471f9","1d31071c3708db8e408bc7db26f95b2c","88311c24",1,2023-02-15,20,"burma","Male",1,1,0,0,1,1
"ce9ba115156522cc5bb0e49376d0e14c6466824c55bf74f5ad1fee0b3f4cfde4","3c01df8e5923ad49c08fe61e41972e32","2cc2591c",2,2023-02-15,28,"centralafricanrepublic","Female",1,1,0,1,2,2
"b731703d813525598f2c5619acaf713f267fec1074cc8dedf5c424873f0dc10a","471c3ac6818d8852b0bbfb82783a90d1","56af9059",6,2023-02-15,36,"afghanistan","Male",0,0,0,0,3,3
"7cc766e9de02dbfe21de38e2586b424b4fce3dbda7e35969791b0308973da466","471c3ac6818d8852b0bbfb82783a90d1","56af9059",6,2023-02-15,36,"afghanistan","Female",0,0,0,0,3,3
"ec32d62b6729a36ce96a4f80435a4fb2b916aaaa83199da51190793ef22f86bf","4ebd2d38396e5de256877b762172507e","b5b999a4",1,2023-02-15,31,"burma","Female",0,0,1,0,4,4
"5c73452042cbc7dd595e0fe7c2bc6659583040317bd4d58b561c4756a8cb4599","510afb02c459e1d430eb3707bed23930","19c12683",4,2023-02-15,33,"afghanistan","Male",0,0,0,0,5,5
"40887f3847a918bdd1e2a4300afcc27a0df74d7396347321525e20baaa0c2dc0","510afb02c459e1d430eb3707bed23930","19c12683",4,2023-02-15,30,"afghanistan","Female",0,0,0,0,5,5
"ba6f08df47258a2b00e3b030cbfd395be7e710caf898f27416124eb4b10eefbc","57843ed57e26bc58584bf6853bc94dc4","c572d3f4",5,2023-02-15,19,"afghanistan","Male",0,0,0,0,6,6
"75a3b451c15a2e4100cf0c1843096e4b6981761bd3ffb55e95c6e07d0253b209","57843ed57e26bc58584bf6853bc94dc4","c572d3f4",5,2023-02-15,18,"afghanistan","Female",0,0,0,0,6,6
"d32940f3b5db0d70969fa881b681daa69fb7df58933fbfee053c73b87f0e5941","57843ed57e26bc58584bf6853bc94dc4","c572d3f4",5,2023-02-15,18,"afghanistan","Male",0,0,0,0,6,6
"3693fbebacb31fbed40f26d6239fc28111a3a7f4984d79420bc4508c92ea1d18","57843ed57e26bc58584bf6853bc94dc4","c572d3f4",5,2023-02-15,54,"afghanistan","Female",0,0,0,0,6,6
"5dd24622e09efc97ea730b780511341f58f3ca164d513fcf1d5a1dbd21714898","57843ed57e26bc58584bf6853bc94dc4","c572d3f4",5,2023-02-15,58,"afghanistan","Male",0,0,0,0,6,6
"07825fbd4e9e28d1aadcb33ca628882770796607d56d2eab87a8ca54659a91f9","7212f806e7a4665b2675c927ae510546","47d21aa7",6,2023-02-15,29,"demrepcongo","Female",0,0,0,1,7,7
"323f636a3f598fccbcaf20b3ea7460444a09cd0bd71b97a8689cf3f0c213692c","7e739d508575262326946b654dd83763","88311c24",1,2023-02-15,36,"somalia","Male",0,1,0,0,8,1
"60ac606c5ccda381c8bafb8381f99078c7cda2fbea6997483aa3d53c5a8fe134","86e91f982c084dded8a7832caf755839","3f92aae8",2,2023-02-15,27,"afghanistan","Female",0,0,0,0,9,8
"54f05365f04b0712eb9025c89cb8858c0acae8b0861b9c4e41855073f02d4e70","86e91f982c084dded8a7832caf755839","3f92aae8",2,2023-02-15,32,"afghanistan","Male",0,0,0,0,9,8
"ed16dd599ba00e9e2cc177e7e491a6ca25a26fddf9e6213afc0fd5cdf38ee975","87253f40d2bb0828aebd58d5dacdc64e","2cc2591c",7,2023-02-15,34,"centralafricanrepublic","Male",1,0,0,1,10,2
"8f899d12e7ed7df87df8945d59a455eaf8b6b4654ff707d69d4a5928186ef7fb","87253f40d2bb0828aebd58d5dacdc64e","2cc2591c",7,2023-02-15,29,"chad","Female",1,0,0,1,10,2
"6191bab0ac69292926b17afb7fb83ae9ee374caf534226164110c8b72e315525","87ef7f2bcfbfc9b30b11f0f7b65b9e70","45ff63ad",5,2023-02-15,40,"afghanistan","Male",0,0,0,0,11,9
"23d21490a326d832d036f747fc00bfb783f68110d3ce3b5b6d44e83b08a068be","87ef7f2bcfbfc9b30b11f0f7b65b9e70","45ff63ad",5,2023-02-15,40,"afghanistan","Female",0,0,0,0,11,9
"c8b54865ad03cabb1111a03f1c8661bf65a7f5bde3e40312ec1049c620bef9fb","b365d01e6b5881a949f47cda873deed7","eb58ce03",8,2023-02-15,34,"afghanistan","Female",0,0,0,0,12,10
"e6af7020c30801ac522da4ef6aaf30562f44178a73af1203114b38916be89fb5","b365d01e6b5881a949f47cda873deed7","eb58ce03",8,2023-02-15,43,"afghanistan","Male",0,0,0,0,12,10
"c68a14b8cbdceb69ec206c62e7c1495c7f571cd7f77a3ffaab7c387d6756f418","cc3186bba2559f2e2770f9a008cc487b","45ff63ad",4,2023-02-15,26,"afghanistan","Female",0,0,0,0,13,9
"2c25bb2b2fa6ba647287d1bd1f3f6fe95fccb6ea4e6f6e2975c7accf2d787a11","cc3186bba2559f2e2770f9a008cc487b","45ff63ad",4,2023-02-15,27,"afghanistan","Male",0,0,0,0,13,9
"8722146431397f3335e70aee3a3704b1d17fbbd07fbf058690bf568f952daac0","fecc7defc2cfeb19c5a59be1f362640c","2cc2591c",2,2023-02-15,26,"centralafricanrepublic","Female",1,1,0,1,14,2
"35e557cadc09f5c13909308aeda8edf17784f9a814a82c18a7b1675c64e97dd8","03abb0a19882078a224cde0b13db2f09","de5bb19c",4,2023-02-16,30,"afghanistan","Female",0,0,0,0,15,11
