"PERS_ID","YM_in","YM_out"
117620359,201108,201412
118209775,201201,201804
118897301,201009,201412
119235707,201305,201712
120243185,200803,201711
120286227,201108,201711
120640421,200806,201204
120779575,201402,201702
120938691,201007,201409
120946243,200812,201804
121144283,200812,201112
121391231,201107,201509
121417077,201109,201501
121489187,200805,201306
121499421,200906,201612
121526725,201003,201410
121773299,200905,201205
121794009,201102,201608
121951301,200804,201503
122210893,201001,201503
122420063,201309,201610
122688913,201307,201611
122976003,200802,201504
123166635,201011,201605
123199957,201102,201411
123200461,201110,201502
123232737,200901,201407
123284397,200901,201301
123290443,200904,201505
123829039,201410,201805
123951189,201010,201608
124230287,200801,201605
124538401,200802,201403
124546527,201004,201503
124702965,201004,201304
124716247,200810,201311
124768139,200906,201502
124819561,201101,201501
124827261,201005,201412
125025981,201109,201808
125075691,201308,201711
125077085,201108,201412
125085311,201001,201309
125152951,200903,201606
125198153,200804,201311
125237463,200812,201407
125256441,201009,201804
125282971,201302,201603
125709925,200908,201608
125797937,201102,201408
125849841,201003,201804
126001013,201011,201407
126267461,201212,201601
126509529,200808,201203
126625131,200803,201307
126638609,201201,201504
126701967,201102,201604
126715485,200803,201307
126727855,200902,201409
126759631,200807,201809
126851159,201106,201809
126983723,201404,201704
127021275,201106,201411
127083169,200803,201401
127213201,200805,201805
127337045,201001,201302
127355603,200912,201407
127380249,200906,201305
127386867,200806,201503
127392549,201003,201407
127407979,201007,201604
127452379,201205,201605
127484301,200902,201804
127621569,201101,201502
127665799,200904,201504
127682205,201006,201803
127737025,200812,201606
127751341,200809,201501
127793337,201005,201312
127911229,201005,201809
127912461,200907,201305
127949191,200803,201510
127978755,200812,201404
128011857,200811,201305
128067571,201006,201410
128105977,200809,201209
128110501,200911,201409
128116941,200904,201302
128122035,200912,201607
128189985,201004,201408
128193509,200812,201206
128193519,200812,201206
128193933,201102,201409
128205603,201201,201705
128208829,200903,201409
128218885,200909,201409
128234401,200905,201307
128236125,200906,201607
128293627,200907,201412
128318497,200903,201209
128332091,201110,201411
128425149,200807,201509
128454109,201206,201510
128554007,200901,201406
128599909,200810,201601
128628837,200903,201501
128636127,200812,201604
128644907,201002,201503
128660369,200809,201801
128753965,200902,201309
128754061,200902,201309
128755727,201303,201606
128803777,200810,201110
128803817,200810,201110
128821443,200805,201204
128873703,200908,201711
128885559,201401,201707
128890259,201102,201502
129005165,200910,201608
129028435,200807,201107
129032623,200803,201505
129101017,200808,201110
129189843,200804,201303
129234689,200907,201306
129246985,201203,201509
129271533,200906,201804
129296399,201006,201410
129323225,200805,201205
129340469,200809,201503
129373133,200804,201401
129378021,201012,201609
129391687,200901,201203
129391945,200803,201209
129411617,200906,201409
129435737,200807,201210
129435755,201005,201308
129476991,200805,201105
129523733,200809,201211
129643263,200901,201407
129655769,200806,201111
129662457,201001,201502
129758763,201201,201605
129815173,200906,201411
129822035,200912,201411
129863535,200905,201301
129931635,200801,201802
129950067,200902,201306
129968411,201006,201603
129969231,201006,201603
130033995,200809,201509
130149369,200904,201403
130164559,200810,201712
130221677,200805,201310
130250381,201408,201802
130250395,201408,201802
130267155,201009,201408
130275751,200905,201409
130346785,201205,201703
130366945,200810,201110
130387587,200905,201305
130390595,200903,201404
130427857,200809,201203
130465689,200805,201403
130465977,200807,201112
130529763,200902,201502
130622645,200809,201612
130626619,200811,201111
130635141,200908,201302
130641119,201101,201412
130650243,201002,201804
130694587,200809,201206
130694909,200812,201308
130742381,200811,201410
130805039,200812,201308
130823181,200911,201511
130876397,200903,201305
130878013,200801,201309
130880345,200805,201712
130894945,200903,201502
130927859,200907,201511
130936619,201401,201708
130970601,200911,201504
131062785,201006,201805
131082243,200801,201707
131231355,200801,201201
131292765,201112,201702
131358119,200906,201311
131417577,201008,201309
131435409,200812,201303
131451495,201106,201410
131538349,200805,201409
131541963,200907,201412
131542671,201409,201805
131544203,201209,201510
131567117,201005,201503
131570993,201205,201606
131601209,200806,201506
131606399,200908,201504
131612351,201405,201804
131695243,200801,201205
131695607,200906,201411
131696889,200910,201609
131709047,201212,201611
131717117,200809,201209
131724835,200812,201407
131746245,200805,201107
131749697,200804,201112
131756455,201106,201611
131811065,200904,201212
131814041,200904,201211
131823421,200901,201407
131892801,200807,201201
131957171,201106,201701
131961467,200809,201402
131965445,201412,201805
131990547,201103,201609
132002889,200808,201203
132018499,201407,201710
132034457,200905,201306
132174581,200901,201407
132212823,201402,201806
132222171,201209,201605
132248427,201108,201412
132336993,200804,201306
132412743,201207,201805
132412763,201207,201805
132476287,200808,201203
132566751,200905,201407
132568501,201108,201505
132603975,201210,201809
132627071,201011,201611
132627887,200911,201610
132645015,200905,201302
132654401,201102,201802
132663899,201102,201710
132665321,201411,201711
132668777,201002,201302
132675339,200802,201205
132693631,201411,201711
132712033,201009,201806
132715169,200809,201204
132721119,200908,201412
132729231,201212,201809
132780323,200808,201605
132803133,200903,201207
132826927,201004,201410
132881201,201212,201708
132921643,200812,201412
132952823,201001,201601
132963083,200905,201302
132966951,201308,201703
132974641,200901,201408
133089187,200911,201401
133105997,201010,201510
133115623,200812,201606
133121081,200909,201308
133141915,200903,201506
133144305,200910,201305
133162693,200807,201604
133201975,200905,201512
133210765,200908,201410
133227361,200904,201709
133250623,200811,201310
133309741,200808,201409
133317665,200805,201307
133350787,200806,201502
133361777,200907,201702
133378171,200902,201204
133383443,200810,201201
133384637,200810,201312
133389377,200808,201705
133415975,200803,201306
133437417,200903,201501
133445647,201001,201505
133466063,200901,201202
133483269,200903,201211
133492387,200907,201307
133504677,201311,201702
133538985,200908,201412
133545647,200812,201407
133556219,201209,201605
133579877,200810,201212
133581511,201208,201804
133630579,201012,201506
133631883,200902,201208
133656411,200910,201409
133666975,201110,201707
133670583,201506,201809
133679157,200907,201806
133711639,200905,201301
133714549,201005,201307
133737653,200901,201202
133802793,200811,201203
133866367,201102,201408
133884007,200908,201508
133943735,200902,201210
134040811,200902,201301
134088983,200807,201202
134149097,200906,201409
134161101,200806,201204
134162723,200809,201301
134174847,200901,201311
134184887,200810,201506
134205005,201308,201608
134308343,200809,201206
134339445,200904,201204
134340599,200810,201601
134372989,200804,201201
134399055,201109,201609
134413843,201107,201610
134421593,200810,201203
134424437,201104,201612
134444715,200803,201702
134444723,200803,201702
134471097,201111,201504
134491173,200803,201706
134494929,200803,201605
134510061,200909,201211
134512231,200809,201509
134515637,200910,201303
134548517,200907,201406
134596797,200804,201206
134631295,200801,201107
134634011,200901,201410
134639289,200905,201408
134667235,200907,201408
134675825,201205,201602
134682347,200804,201207
134694759,200902,201507
134694767,200902,201510
134712771,200812,201203
134713971,200810,201208
134717213,201104,201408
134738199,200806,201110
134753879,201010,201503
134765725,200801,201610
318778207,200809,201110
318822289,201003,201807
320145823,201406,201707
320343695,200801,201205
320486535,200903,201204
320494141,201005,201505
320720447,201301,201702
321350615,200809,201406
337237065,200803,201712
337241501,200912,201606
337285317,201211,201710
337287569,200906,201605
337372779,201103,201507
337401545,200911,201509
337409497,200812,201512
337426527,201009,201504
337446633,201204,201711
337453007,201105,201408
337457615,200906,201605
337494129,201006,201501
337494339,201102,201406
337516099,200810,201208
337558197,201203,201606
337599545,200906,201506
337606771,201301,201706
337607243,201105,201412
337617987,201203,201606
337695195,200812,201202
337710007,201102,201606
337711727,200805,201207
337712487,201007,201603
337737115,201309,201701
337846325,200804,201302
337875679,200903,201309
337900005,200806,201401
337924239,201006,201805
337929313,201006,201405
337955055,201102,201611
337958573,201202,201503
337959617,201010,201502
337963689,200903,201702
337996563,201101,201612
338058929,200802,201809
338061257,200806,201206
338061641,200802,201203
338140313,200810,201210
338170147,200812,201203
338172171,200808,201210
338182423,201306,201608
338198383,201006,201712
338203971,200908,201407
338209911,201007,201310
338218611,200811,201407
338219823,200809,201204
338238521,200808,201302
338245333,201111,201702
338245869,201106,201412
338249163,200801,201309
338253555,201301,201706
338255079,201111,201703
338256429,200803,201401
338257515,200803,201407
338262307,201104,201404
338300275,200812,201204
338300277,200812,201204
338301721,200907,201307
338301741,200907,201208
338309313,201411,201803
338341955,200805,201112
338353715,200905,201502
338364447,200806,201412
338365193,200901,201504
338375585,200907,201404
338376609,200912,201309
338389399,201002,201506
338398349,201203,201510
338402535,200802,201407
338418183,200903,201708
338428769,200810,201308
338434003,200905,201312
338434379,200803,201109
338434381,200803,201109
338436533,200805,201201
338442387,200803,201510
338442391,200803,201510
338450833,200808,201111
338465797,201008,201603
338468711,201005,201310
338473797,201106,201608
338473799,201106,201608
338491347,201404,201809
338493199,200911,201411
338504129,200905,201605
338519065,200809,201304
338527105,201004,201507
338534577,200806,201408
338534579,200806,201408
338534585,200806,201212
338559479,201006,201503
338559781,201102,201409
338567361,201208,201601
338578057,200807,201403
338592801,200907,201510
338592803,200907,201301
338592853,200909,201701
338625983,200901,201206
338625985,200901,201206
338628767,200810,201303
338630867,200802,201703
338642927,201202,201601
338644729,201003,201505
338647017,200904,201209
338650189,200909,201211
338663141,201211,201611
338663147,201209,201611
338680189,201304,201709
338689769,200901,201301
338689771,200901,201301
338692455,200802,201109
338699351,200807,201605
338701571,200910,201410
338710513,201204,201809
338714065,201204,201603
338719229,200905,201212
338719237,200806,201109
338722433,200803,201511
338737929,201002,201311
338745309,201002,201709
338752157,201102,201803
338753981,200810,201508
338754825,201108,201505
338758663,200801,201306
338761689,200808,201309
338774933,200811,201112
338774937,200811,201112
338776903,200802,201210
338786049,200801,201305
338786051,200801,201305
338788241,201206,201710
338795543,201011,201608
338801143,200807,201607
338801829,201105,201808
338806095,200808,201108
338809527,201204,201603
338810855,200907,201306
338816483,200802,201705
338835011,200801,201312
338835803,201106,201702
338851115,201001,201308
338864037,200902,201505
338865203,201107,201507
338882225,201208,201708
338883369,200902,201301
338883919,200804,201409
338885931,200802,201408
338885963,200801,201407
338887071,200809,201304
338890727,200901,201301
338890729,200901,201301
338897589,200809,201211
338899157,200912,201311
338900301,200803,201211
338901029,200801,201206
338902849,200802,201809
338911975,201112,201502
338926679,201110,201702
338929177,200811,201712
338930005,200807,201603
338934837,201011,201311
338934839,201011,201311
338935849,200811,201204
338942639,201105,201809
338947695,200808,201312
338948035,201003,201703
338948479,201007,201703
338952433,200810,201709
338952811,200910,201301
338965043,200901,201501
338968029,201010,201504
338968031,201010,201504
338974283,200905,201502
338976493,200805,201411
338977021,200805,201301
338977863,201104,201704
338980205,200811,201205
338980231,200905,201406
338980437,200912,201306
338980979,201005,201709
338986185,201508,201809
338986441,201107,201607
338986747,201007,201709
338986749,201007,201709
338986753,201007,201709
338991053,201005,201709
338992591,201205,201805
338993257,200812,201202
339003639,201003,201311
339008835,200811,201112
339012249,200907,201212
339012277,201010,201411
339014245,201009,201409
339014247,201009,201409
339021155,201105,201409
339032733,200803,201407
339034645,201207,201602
339038191,200801,201309
339039487,201204,201604
339039489,201204,201701
339039493,201204,201607
339039495,201204,201610
339040701,201006,201502
339044319,200802,201206
339047747,200810,201110
339050103,200812,201412
339050277,201506,201806
339058201,200908,201601
339069253,200812,201203
339070071,201007,201310
339074063,201205,201703
339075201,200810,201709
339078507,200802,201305
339080847,200906,201411
339085347,201102,201503
339086869,201010,201711
339087275,200807,201112
339094381,200909,201808
339100531,200807,201212
339105579,201004,201702
339106121,201002,201302
339106125,201110,201702
339111315,201405,201708
339115963,201102,201409
339117713,200912,201212
339119463,200808,201705
339121367,200901,201611
339125963,201009,201311
339131353,200812,201408
339131595,201003,201411
339135255,200902,201210
339137385,201008,201308
339137391,201106,201606
339142557,200809,201110
339142635,201501,201806
339144335,200911,201707
339150713,201112,201707
339157837,200804,201111
339159997,200906,201407
339162605,200906,201611
339172081,200806,201405
339176941,200807,201304
339181635,200804,201406
339182465,200810,201503
339183463,200811,201712
339185129,200907,201308
339185939,200912,201601
339185941,200912,201601
339189335,201009,201710
339189741,201006,201405
339195935,200911,201401
339199129,200811,201407
339200883,201212,201604
339202605,200809,201708
339202607,200809,201307
339203869,201110,201508
339203871,201110,201508
339216821,201005,201511
339217485,201109,201706
339219293,200808,201112
339222323,200901,201302
339223911,201207,201808
339224979,201007,201412
339226197,200804,201406
339238605,200904,201212
339240667,201005,201310
339242675,201111,201703
339243819,200804,201701
339243951,200907,201402
339244147,201101,201607
339244241,201302,201701
339249427,201409,201803
339249965,201001,201501
339256239,201012,201510
339257539,200901,201305
339258727,200804,201112
339262279,201101,201601
339262367,200811,201406
339262409,200909,201407
339266795,201010,201408
339270289,201103,201408
339275715,201101,201501
339279741,201111,201605
339280511,201111,201605
339282019,201009,201402
339293577,201301,201610
339299081,201206,201708
339302121,201107,201501
339305983,201409,201808
339307327,201105,201809
339308161,200807,201308
339308163,200909,201308
339314361,201410,201804
339317263,201204,201809
339317869,200809,201609
339319727,201106,201602
339319729,201106,201602
339321677,201209,201605
339326015,200812,201203
339326423,200807,201612
339327163,200909,201210
339328073,200810,201212
339328075,200810,201212
339331063,201011,201607
339348429,200801,201508
339350615,200904,201411
339351983,200809,201405
339357255,200810,201401
339357257,200810,201401
339357977,200810,201410
339365135,201101,201805
339367239,201107,201507
339367631,201004,201706
339368955,201011,201609
339369409,201208,201607
339377795,200810,201209
339377797,200810,201209
339382637,201110,201410
339385663,200811,201601
339385665,200811,201601
339387807,200805,201209
339390673,201008,201806
339393647,201205,201607
339396877,201007,201505
339398301,201209,201712
339399491,200901,201409
339405511,200812,201502
339406345,201101,201407
339413059,201201,201612
339414185,200806,201209
339415851,201107,201708
339417817,200912,201402
339418185,200802,201406
339422503,201104,201512
339424885,201401,201701
339426857,200809,201408
339437063,200912,201401
339441463,200911,201802
339447817,201206,201711
339453023,201104,201703
339457905,201105,201701
339457907,201105,201701
339458617,200908,201209
339459445,200809,201210
339462597,201408,201803
339467341,200801,201105
339469489,201004,201503
339470245,201210,201607
339471731,201111,201804
339480453,200909,201510
339482933,200910,201408
339487873,200810,201403
339491329,201112,201803
339493249,201203,201606
339502249,200811,201403
339504081,200802,201801
339506901,201201,201601
339510745,200805,201107
339511217,201009,201403
339518189,200904,201701
339518191,200904,201701
339519937,201007,201709
339521311,201405,201806
339522099,200904,201803
339523489,200801,201102
339523491,200801,201102
339526901,200910,201501
339526905,200910,201501
339533717,200812,201206
339534445,200805,201306
339536465,201111,201607
339536467,201111,201607
339536965,201011,201601
339538951,201105,201808
339540785,200901,201406
339544433,200802,201112
339548067,200806,201311
339548321,200805,201706
339549041,200811,201509
339551723,200904,201205
339552451,201203,201704
339552453,201203,201704
339553225,201107,201411
339553999,200902,201607
339559947,200804,201209
339561411,201104,201406
339562361,201005,201601
339563575,200902,201212
339568721,201203,201709
339570343,201002,201312
339570819,200802,201206
339571195,200907,201207
339572603,200904,201307
339573657,200904,201310
339579781,201010,201407
339579927,201009,201311
339581487,201007,201307
