"PERS_ID","YM_start","YM_end"
114366763,201711,201802
116609197,199408,199408
116609197,199408,199508
116609197,200103,200301
117477969,199406,199505
117477969,199505,199608
117477969,201508,201508
117477969,201510,201612
117735987,200007,200007
117735987,200105,200111
117735987,200207,200209
117735987,200210,200211
117735987,200305,200305
118209775,201512,201804
118298911,200109,200206
118560725,190001,200812
118643961,200605,200606
118643961,200606,200606
118643961,200606,200606
118643961,200608,200610
118846859,199503,199506
118846859,199506,199705
118897301,199407,199509
118897301,199509,199601
118897301,199601,199705
119075049,199508,199509
119266841,200210,200504
119380489,199402,199502
119380489,199502,200909
119567925,201302,201507
119987407,200709,200709
119987407,200710,200711
119987407,200712,200801
119987407,200807,200808
119987407,200904,200909
119987407,200910,201010
120122319,201304,201308
120243185,190001,200802
120243185,201007,201011
120243185,201105,201105
120243185,201404,201511
120243185,201604,201611
120243185,201612,201711
120286227,201403,201407
120286227,201408,201507
120286227,201608,201711
120640421,199905,200011
120640421,200903,200903
120640421,200907,200907
120694207,199404,199503
120694207,199509,199707
120783875,201510,201705
120854563,199406,199602
120854563,199602,199907
120861257,199403,199510
120861257,199908,200005
120861257,200006,200008
120861257,200207,200208
120879887,199404,200812
120879887,190001,200812
120879887,200903,201003
120879887,200903,201003
120905819,201205,201206
120938691,190001,190001
120938691,201507,201707
120938691,201707,201710
120938691,201501,201806
120938691,199404,199510
120938691,199510,199601
120938691,199601,199603
120938691,199603,201007
121000013,199404,199406
121000013,199406,201005
121000013,201011,201103
121000013,201104,201211
121144283,201001,201001
121174251,199404,199405
121174251,199405,199508
121174251,199508,199602
121174251,199702,199710
121174251,199905,200201
121289033,199405,199410
121289033,199410,199505
121289033,199505,199606
121289033,199607,199707
121289033,199806,199903
121289033,199906,199906
121289033,199907,199910
121289033,200002,200009
121289033,200010,200012
121289033,200106,200203
121391231,201203,201203
121391231,201210,201405
121417077,199605,199708
121417077,199905,200008
121459599,199503,199604
121459599,199609,199612
121506333,201702,201706
121506333,201707,201711
121739721,190001,200906
121739721,200906,200906
121739721,200906,200906
121773299,200912,201002
121773299,201005,201008
121773299,201012,201104
121773299,201105,201108
121776503,199608,199608
121817263,199407,199506
121817263,199507,199603
121868207,200803,200808
121943331,201612,201612
121943331,201703,201801
121979067,201202,201202
122122943,200301,200307
122321657,201409,201412
122425793,199604,199611
122425793,199612,199702
122425793,200001,200012
122425793,200103,200104
122425793,200106,200311
122466555,199403,199702
122473247,200909,201007
122606229,200204,200205
122688913,201501,201610
122707043,199511,199512
122707043,201705,201708
122878399,199610,199711
122878399,199808,199810
122878399,199903,199904
122878399,200005,200107
122878399,200111,200204
122940249,201704,201708
122953327,200409,200502
122953327,200510,200511
122976003,199404,199709
122976003,201007,201008
122976003,201010,201405
123049131,201607,201608
123049131,201609,201706
123102269,199410,199502
123290443,201106,201505
123300465,201611,201710
123300465,201709,201809
123306759,200902,200902
123316203,199410,199411
123316203,199411,199602
123316203,200406,200406
123316203,200409,200504
123582937,201308,201703
123597479,199704,199812
123597479,199903,199903
123597479,199907,200805
123649119,201012,201205
123664903,199603,199606
123664903,199606,199705
123883477,201302,201308
123946921,201608,201610
124090359,201311,201505
124090359,201512,201612
124156507,200002,200102
124278627,200009,200011
124278627,200108,200108
124278627,200109,200111
124278627,200209,200302
124278627,200405,200405
124278627,200606,200609
124280893,200012,200107
124280893,200108,200112
124280893,200209,200905
124401549,199403,199507
124401549,199507,199605
124475623,200003,200012
124475623,201605,201610
124475623,201611,201701
124546527,200101,200101
124546527,200104,200805
124592027,199410,199701
124657887,200304,200505
124716247,201209,201311
124736851,201208,201311
124768139,201309,201408
124768139,201409,201502
124988417,199603,200001
125005493,200105,200401
125005493,201712,201805
125005493,201706,201805
125076023,201001,201301
125076023,201301,201401
125123189,199906,199912
125136687,199812,199907
125136687,200002,200002
125136687,200007,200012
125136687,200012,200102
125136687,200106,201012
125152951,199602,199608
125152951,199608,199609
125152951,199708,199708
125152951,199709,199809
125152951,199904,200009
125152951,200103,200105
125152951,200109,200110
125152951,200111,200112
125152951,200205,200205
125152951,200211,200310
125152951,200403,200412
125152951,200909,200909
125152951,200910,201301
125152951,201302,201304
125152951,201309,201403
125152951,201411,201412
125152951,201501,201512
125152951,201601,201606
125153697,199805,201006
125155051,200108,200109
